Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA
E0,14/10/2000,Coventry,Tottenham,2,1,H,2,0,H,21435,Peter Jones,0,4,5,5,0,1,3,5,12,16,3,6,0,4,1,0,25,40,2.6,3.1,2.4,2.3,2.9,2.5,2.5,3.25,2.4,2.6,3.2,2.4,2.62,3.1,2.37
E0,14/10/2000,Everton,Southampton,1,1,D,0,0,D,29491,David Ellaray,7,7,3,4,0,0,9,8,16,13,1,1,1,3,0,0,10,30,1.85,3.25,3.7,1.8,3,3.5,1.9,3.25,3.4,1.91,3.25,3.5,1.8,3.3,3.75
E0,14/10/2000,Ipswich,West Ham,1,1,D,1,0,H,22243,Neale Barry,11,7,8,2,1,0,8,5,10,11,1,5,0,4,0,0,0,40,2.2,3.2,2.9,2.2,2.9,2.7,2.4,3.25,2.5,2.3,3.2,2.7,2.37,3.1,2.62
E0,14/10/2000,Leeds,Charlton,3,1,H,1,0,H,38837,Mike Dean,22,10,10,8,0,0,8,5,7,9,2,1,0,1,0,0,0,10,1.5,3.25,6.3,1.55,3.3,4.5,1.5,3.4,6,1.5,3.5,6,1.5,3.6,5.5
E0,14/10/2000,Leicester,Man United,0,3,A,0,1,A,22132,Paul Durkin,10,16,4,5,0,1,6,7,8,11,3,2,0,0,0,0,0,0,3.7,3.3,1.85,3.1,3,1.9,3.75,3.2,1.85,3.75,3.25,1.85,3.75,3.3,1.8
E0,14/10/2000,Man City,Bradford,2,0,H,2,0,H,34229,Barry Knight,13,10,10,2,1,0,5,6,10,16,7,8,0,2,0,0,0,20,1.7,3.35,4.2,1.7,3.1,3.8,1.7,3.5,3.75,1.75,3.4,4,1.8,3.3,3.75
E0,14/10/2000,Sunderland,Chelsea,1,0,H,0,0,D,45078,Jeff Winter,16,11,11,2,1,0,5,0,12,18,3,1,0,1,1,1,25,35,3.05,3.05,2.15,2.35,3,2.35,2.75,3.2,2.25,2.88,3,2.3,3,3.2,2.1
E0,15/10/2000,Derby,Liverpool,0,4,A,0,1,A,30352,Steve Bennett,6,16,0,11,0,0,4,3,18,13,5,9,1,1,0,0,10,10,3.3,3.2,1.95,3.2,2.9,1.9,3.4,3.25,1.9,3.75,3.25,1.83,3.75,3.2,1.83
E0,16/10/2000,Middlesbrough,Newcastle,1,3,A,0,1,A,31436,Steve Dunn,8,15,2,8,0,0,6,6,8,13,4,4,2,1,0,0,20,10,2.45,3.1,2.55,2.4,2.9,2.4,2.35,3.2,2.6,2.38,3.2,2.63,2.5,3.1,2.5
E0,21/10/2000,Bradford,Ipswich,0,2,A,0,1,A,17045,Paul Taylor,7,12,3,3,0,1,9,1,15,14,6,3,1,0,0,0,10,0,2.3,3.15,2.75,2.2,2.9,2.7,2.35,3.2,2.6,2.38,3,2.75,2.25,3.2,2.75
E0,21/10/2000,Charlton,Middlesbrough,1,0,H,0,0,D,20043,Mike Riley,5,8,2,6,0,0,5,6,11,19,4,2,2,2,0,0,20,20,2.2,3.25,2.8,2.2,2.9,2.7,2.2,3.25,2.75,2.2,3.2,2.88,2.1,3.2,3
E0,21/10/2000,Chelsea,Coventry,6,1,H,2,0,H,34646,Steve Lodge,33,3,19,3,1,0,10,0,6,8,3,5,0,1,0,1,0,35,1.4,3.8,6.5,1.5,3.4,4.7,1.4,3.75,7,1.4,3.75,7.5,1.4,3.6,7.5
E0,21/10/2000,Liverpool,Leicester,1,0,H,0,0,D,44395,Andy D'Urso,24,8,11,3,0,0,10,9,8,10,1,3,1,2,0,0,10,20,1.5,3.5,5.5,1.5,3.4,4.7,1.5,3.4,6,1.53,3.5,5.5,1.5,3.4,6
E0,21/10/2000,Man United,Leeds,3,0,H,1,0,H,67523,Jeff Winter,26,5,14,0,0,0,12,4,9,18,1,9,0,2,0,0,0,20,1.5,3.55,6,1.5,3.4,4.7,1.55,3.5,5,1.4,3.6,6,1.44,3.6,6.5
E0,21/10/2000,Newcastle,Everton,0,1,A,0,0,D,51625,Mark Halsey,11,9,4,4,0,0,5,4,9,12,3,3,1,3,0,0,10,30,1.6,3.4,5,1.55,3.3,4.5,1.5,3.4,6,1.53,3.4,6,1.53,3.4,5.5
E0,21/10/2000,Tottenham,Derby,3,1,H,2,1,H,34483,Mike Dean,18,8,8,7,0,0,7,4,9,16,7,6,1,2,0,0,10,20,1.55,3.4,5.65,1.5,3.4,4.7,1.45,3.75,6,1.5,3.5,6,1.44,3.6,6.5
E0,21/10/2000,West Ham,Arsenal,1,2,A,0,2,A,26034,Dermot Gallagher,11,13,3,5,0,0,5,4,15,11,5,6,1,0,0,0,10,0,3.35,3.2,1.95,2.9,2.9,2.1,3.4,3.25,1.9,3.3,3.2,2,3,3.2,2.1
E0,22/10/2000,Aston Villa,Sunderland,0,0,D,0,0,D,27215,Rob Styles,17,7,4,3,0,1,7,3,11,17,4,4,1,3,0,0,10,30,1.75,3.35,4,1.6,3.2,4.2,1.8,3.2,4,1.8,3.25,4,1.72,3.4,4
